#population	sample	sex	totalAligned	paired_myo	paired_seq2	paired_seq3	singles_myo	singles_seq2	singles_seq3
Aus-Wild	Gv10-A-01	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-A-02	Male	12	8	0	0	2	1	1
Aus-Wild	Gv10-A-03	Male	6	2	0	0	1	2	1
Aus-Wild	Gv10-A-04	unknown	1	0	0	0	0	1	0
Aus-Wild	Gv10-A-05	Male	14	4	0	0	4	5	1
Aus-Wild	Gv10-A-06	Male	17	10	0	0	0	4	3
Aus-Wild	Gv10-A-07	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-A-08	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-A-09	Male	13	4	0	0	2	3	4
Aus-Wild	Gv10-A-10	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-B-02	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-B-03	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-B-04	Male	6	4	0	0	0	2	0
Aus-Wild	Gv10-B-06	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-B-07	Male	8	4	0	0	1	0	3
Aus-Wild	Gv10-B-08	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-B-09	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-B-10	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-C-01	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-C-02	unknown	4	0	0	0	0	3	1
Aus-Wild	Gv10-C-03	Male	6	4	0	0	1	1	0
Aus-Wild	Gv10-C-04	Male	19	14	0	0	0	2	3
Aus-Wild	Gv10-C-05	Male	13	6	0	0	1	2	4
Aus-Wild	Gv10-C-06	unknown	1	0	0	0	0	1	0
Aus-Wild	Gv10-C-07	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-C-08	Male	2	0	0	0	1	1	0
Aus-Wild	Gv10-C-09	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-C-10	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-E-02	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-E-03	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-E-04	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-E-05	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-E-06	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-E-07	Male	11	6	0	0	1	1	3
Aus-Wild	Gv10-E-08	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-E-09	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-F-01	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-F-02	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-F-08	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-F-10	Male	27	16	0	0	3	6	2
Aus-Wild	Gv10-G-05	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-G-06	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-G-07	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-G-08	Male	3	2	0	0	0	1	0
Aus-Wild	Gv10-G-09	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-G-10	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-H-01	unknown	1	0	0	0	0	1	0
Aus-Wild	Gv10-H-02	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-H-03	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-H-04	Male	7	4	0	0	2	0	1
Aus-Wild	Gv10-H-05	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-H-06	Female	0	0	0	0	0	0	0
Aus-Wild	Gv10-H-07	Male	18	10	0	0	3	1	4
Aus-Wild	Gv10-H-08	Male	29	14	0	0	4	7	4
