GO:0016802	trialkylsulfonium hydrolase activity	AAEL008341 AAEL005524
GO:0035770	ribonucleoprotein granule	AAEL000262 AAEL001397
GO:0046434	organophosphate catabolic process	AAEL004431
GO:0046341	CDP-diacylglycerol metabolic process	AAEL013392 AAEL001940
GO:0010564	regulation of cell cycle process	AAEL012446 AAEL008944
GO:0046439	L-cysteine metabolic process	AAEL015445
GO:0034354	'de novo' NAD biosynthetic process from tryptophan	AAEL008879
GO:0061731	ribonucleoside-diphosphate reductase activity	AAEL010644
GO:0006139	nucleobase-containing compound metabolic process	AAEL004243 AAEL009337 AAEL009334 AAEL009650 AAEL006991 AAEL006956 AAEL801143 AAEL801142 AAEL009438 AAEL006299
GO:0061733	peptide-lysine-N-acetyltransferase activity	AAEL014513 AAEL010729 AAEL006177 AAEL017391 AAEL007672 AAEL000452 AAEL014072
GO:0046348	amino sugar catabolic process	AAEL012268 AAEL013262 AAEL012370 AAEL002959 AAEL003056 AAEL010963 AAEL002972 AAEL009782 AAEL001965 AAEL006147 AAEL006349 AAEL000389 AAEL012467 AAEL003066 AAEL014667 AAEL002964 AAEL004897 AAEL005684 AAEL008570 AAEL002023 AAEL002969 AAEL008040 AAEL009758 AAEL003094 AAEL013385 AAEL011496 AAEL003110
GO:0004869	cysteine-type endopeptidase inhibitor activity	AAEL013287
GO:0051656	establishment of organelle localization	AAEL008618
GO:0051651	maintenance of location in cell	AAEL006222 AAEL013147
GO:0030120	vesicle coat	AAEL013230 AAEL015001 AAEL004546 AAEL013098
GO:0051653	spindle localization	AAEL008618
GO:0002009	morphogenesis of an epithelium	AAEL007670
GO:0005838	proteasome regulatory particle	AAEL002789
GO:0005839	proteasome core complex	AAEL008770 AAEL002401 AAEL006174 AAEL007049 AAEL006441 AAEL003431 AAEL013236
GO:0000323	lytic vacuole	AAEL004142 AAEL006169 AAEL003046 AAEL017512
GO:0019992	diacylglycerol binding	AAEL002357
GO:0051494	negative regulation of cytoskeleton organization	AAEL005419
GO:0051493	regulation of cytoskeleton organization	AAEL005461 AAEL018342
GO:0051492	regulation of stress fiber assembly	AAEL018333 AAEL005189
GO:0007080	mitotic metaphase plate congression	AAEL008890
GO:0016514	SWI/SNF complex	AAEL004942
GO:0046501	protoporphyrinogen IX metabolic process	AAEL007787 AAEL006693
GO:0046500	S-adenosylmethionine metabolic process	AAEL004501
GO:1901162	primary amino compound biosynthetic process	AAEL017120
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity	AAEL011700 AAEL013336 AAEL010889
GO:0006284	base-excision repair	AAEL008148 AAEL013179 AAEL005870
GO:0006285	base-excision repair, AP site formation	AAEL003906
GO:0017172	cysteine dioxygenase activity	AAEL015445
GO:0006281	DNA repair	AAEL003756 AAEL007649 AAEL011317 AAEL004686 AAEL801265 AAEL007291 AAEL011629 AAEL003152 AAEL004039 AAEL001794 AAEL801243 AAEL004562 AAEL005399 AAEL009999 AAEL006715 AAEL013693 AAEL002930 AAEL000550 AAEL017186 AAEL005539 AAEL009701 AAEL006107 AAEL010781 AAEL007237 AAEL008113 AAEL012826 AAEL000425 AAEL006209 AAEL014377 AAEL009644 AAEL008482 AAEL014945 AAEL011772 AAEL012529 AAEL002139 AAEL018312 AAEL014900 AAEL001451 AAEL011307 AAEL011352 AAEL011715 AAEL005802 AAEL008081 AAEL015060 AAEL001787 AAEL002250 AAEL002822 AAEL002098 AAEL012355 AAEL014748 AAEL002800 AAEL005245 AAEL001324 AAEL014250 AAEL003271 AAEL015141 AAEL010341 AAEL008960 AAEL011749 AAEL010107 AAEL006937 AAEL010762 AAEL002945 AAEL011477
GO:0045859	regulation of protein kinase activity	AAEL002216
GO:0004512	inositol-3-phosphate synthase activity	AAEL002834
