#chr,cM,misassembled,old.scaffold.name,new.scaffold.name,start,end,length,cum.bp.chr,cum.bp.genome
chr1,0,no,supercont1.166,supercont1.166,0,2012222,2012222,2012222,2012222
chr1,0,yes,supercont1.222,supercont1.222a,0,321904,321904,2334126,2334126
chr1,0,no,supercont1.267,supercont1.267,0,1546120,1546120,3880246,3880246
chr1,0,no,supercont1.272,supercont1.272,0,1480619,1480619,5360865,5360865
chr1,0,no,supercont1.296,supercont1.296,0,1393133,1393133,6753998,6753998
chr1,0,no,supercont1.327,supercont1.327,0,1288320,1288320,8042318,8042318
chr1,0,no,supercont1.398,supercont1.398,0,1090722,1090722,9133040,9133040
chr1,0,no,supercont1.461,supercont1.461,0,978611,978611,10111651,10111651
chr1,0,yes,supercont1.48,supercont1.48b,1298832,1423177,124345,10235996,10235996
chr1,0,no,supercont1.487,supercont1.487,0,1027667,1027667,11263663,11263663
chr1,0,no,supercont1.512,supercont1.512,0,982904,982904,12246567,12246567
chr1,0,no,supercont1.696,supercont1.696,0,759005,759005,13005572,13005572
chr1,0,yes,supercont1.97,supercont1.97b,1038837,2754592,1715755,14721327,14721327
chr1,0,no,supercont1.970,supercont1.970,0,325323,325323,15046650,15046650
chr1,4.47,no,supercont1.1025,supercont1.1025,0,279509,279509,15326159,15326159
chr1,4.47,no,supercont1.1076,supercont1.1076,0,259488,259488,15585647,15585647
chr1,4.47,no,supercont1.1138,supercont1.1138,0,220170,220170,15805817,15805817
chr1,4.47,yes,supercont1.122,supercont1.122a,0,184381,184381,15990198,15990198
chr1,4.47,yes,supercont1.245,supercont1.245b,1404802,1696409,291607,16281805,16281805
chr1,4.47,yes,supercont1.252,supercont1.252b,1520315,1592843,72528,16354333,16354333
chr1,4.47,no,supercont1.288,supercont1.288,0,1557290,1557290,17911623,17911623
chr1,4.47,no,supercont1.300,supercont1.300,0,1467236,1467236,19378859,19378859
chr1,4.47,no,supercont1.331,supercont1.331,0,1329638,1329638,20708497,20708497
chr1,4.47,no,supercont1.415,supercont1.415,0,1112054,1112054,21820551,21820551
chr1,4.47,yes,supercont1.45,supercont1.45a,0,128088,128088,21948639,21948639
chr1,4.47,no,supercont1.925,supercont1.925,0,406895,406895,22355534,22355534
chr1,8.691,no,supercont1.428,supercont1.428,0,1034842,1034842,23390376,23390376
chr1,12.537,no,supercont1.156,supercont1.156,0,2106494,2106494,25496870,25496870
chr1,12.537,yes,supercont1.222,supercont1.222b,1087537,1795534,707997,26204867,26204867
chr1,12.537,no,supercont1.295,supercont1.295,0,1404970,1404970,27609837,27609837
chr1,12.537,no,supercont1.318,supercont1.318,0,1339553,1339553,28949390,28949390
chr1,12.537,yes,supercont1.32,supercont1.32b,313509,328984,15475,28964865,28964865
chr1,12.537,no,supercont1.576,supercont1.576,0,733731,733731,29698596,29698596
chr1,12.537,no,supercont1.672,supercont1.672,0,601292,601292,30299888,30299888
chr1,12.537,no,supercont1.700,supercont1.700,0,581074,581074,30880962,30880962
chr1,18.675,no,supercont1.176,supercont1.176,0,2016409,2016409,32897371,32897371
chr1,18.675,yes,supercont1.26,supercont1.26a,0,1301894,1301894,34199265,34199265
chr1,18.675,no,supercont1.33,supercont1.33,0,3689457,3689457,37888722,37888722
chr1,18.675,no,supercont1.373,supercont1.373,0,1210988,1210988,39099710,39099710
chr1,20.105,no,supercont1.127,supercont1.127,0,2370492,2370492,41470202,41470202
chr1,21.535,yes,supercont1.106,supercont1.106a,0,2447182,2447182,43917384,43917384
chr1,21.535,no,supercont1.1062,supercont1.1062,0,320638,320638,44238022,44238022
chr1,21.535,no,supercont1.123,supercont1.123,0,2410060,2410060,46648082,46648082
chr1,21.535,yes,supercont1.125,supercont1.125a,0,710864,710864,47358946,47358946
chr1,21.535,yes,supercont1.130,supercont1.130b,1521951,2489063,967112,48326058,48326058
chr1,21.535,no,supercont1.1438,supercont1.1438,0,82188,82188,48408246,48408246
chr1,21.535,no,supercont1.147,supercont1.147,0,2138830,2138830,50547076,50547076
chr1,21.535,no,supercont1.160,supercont1.160,0,2408894,2408894,52955970,52955970
chr1,21.535,no,supercont1.171,supercont1.171,0,2025736,2025736,54981706,54981706
chr1,21.535,yes,supercont1.174,supercont1.174b,1070576,1986401,915825,55897531,55897531
chr1,21.535,no,supercont1.175,supercont1.175,0,2006868,2006868,57904399,57904399
chr1,21.535,no,supercont1.188,supercont1.188,0,1935975,1935975,59840374,59840374
chr1,21.535,no,supercont1.192,supercont1.192,0,1864021,1864021,61704395,61704395
chr1,21.535,no,supercont1.199,supercont1.199,0,1892278,1892278,63596673,63596673
chr1,21.535,yes,supercont1.2,supercont1.2b,1697163,5729030,4031867,67628540,67628540
chr1,21.535,yes,supercont1.20,supercont1.20b,3012303,4138018,1125715,68754255,68754255
chr1,21.535,no,supercont1.212,supercont1.212,0,1858332,1858332,70612587,70612587
chr1,21.535,no,supercont1.218,supercont1.218,0,1785985,1785985,72398572,72398572
chr1,21.535,yes,supercont1.22,supercont1.22a,0,549342,549342,72947914,72947914
chr1,21.535,no,supercont1.232,supercont1.232,0,1763874,1763874,74711788,74711788
chr1,21.535,no,supercont1.234,supercont1.234,0,1732108,1732108,76443896,76443896
